COLLECTION,SAMPLE_NAME,CONDITION
1,A10,AUX
1,A11,AUX
1,A12,AUX
1,A13,AUX
1,A14,AUX
1,A16,AUX
1,A17,AUX
1,A18,AUX
1,A2,AUX
1,A20,AUX
1,A23,AUX
1,A24,AUX
1,A25,AUX
1,A26,AUX
1,A28,AUX
1,A3,AUX
1,A30,AUX
1,A31,AUX
1,A32,AUX
1,A34,AUX
1,A35,AUX
1,A36,AUX
2,A38,AUX
2,A39,AUX
2,A40,AUX
2,A42,AUX
2,A43,AUX
2,A44,AUX
2,A45,AUX
2,A46,AUX
2,A47,AUX
3,A48,AUX
3,A49,AUX
3,A50,AUX
3,A51,AUX
3,A52,AUX
3,A53,AUX
3,A54,AUX
3,A55,AUX
3,A56,AUX
4,A58,AUX
4,A59,AUX
1,A6,AUX
4,A60,AUX
4,A61,AUX
4,A62,AUX
4,A63,AUX
4,A64,AUX
4,A65,AUX
4,A66,AUX
4,A67,AUX
4,A68,AUX
1,A7,AUX
5,A71,AUX
5,A72,AUX
5,A77,AUX
5,A78,AUX
5,A79,AUX
1,A8,AUX
1,A9,AUX
1,N10,UNT
1,N11,UNT
1,N14,UNT
1,N15,UNT
1,N17,UNT
1,N18,UNT
1,N19,UNT
1,N2,UNT
1,N20,UNT
1,N21,UNT
1,N22,UNT
1,N24,UNT
1,N27,UNT
1,N28,UNT
1,N29,UNT
1,N30,UNT
2,N32,UNT
2,N33,UNT
2,N34,UNT
2,N36,UNT
2,N37,UNT
2,N38,UNT
3,N40,UNT
3,N42,UNT
3,N43,UNT
3,N44,UNT
3,N45,UNT
3,N46,UNT
3,N47,UNT
3,N48,UNT
1,N5,UNT
4,N50,UNT
4,N51,UNT
4,N52,UNT
4,N55,UNT
4,N56,UNT
4,N57,UNT
4,N58,UNT
5,N59,UNT
1,N6,UNT
5,N60,UNT
5,N61,UNT
5,N62,UNT
5,N63,UNT
5,N65,UNT
5,N66,UNT
5,N67,UNT
5,N68,UNT
5,N69,UNT
1,N7,UNT
5,N70,UNT
5,N71,UNT
5,N72,UNT
5,N73,UNT
5,N77,UNT
5,N78,UNT
5,N79,UNT
1,N8,UNT
5,N80,UNT
