SRR,sample,condition,group_or_time_point,batch,biol_rep,tech_rep,run,library_layout,read_length
none,het_1B,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_1D,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_1F,F_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_1G,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_1H,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2A,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2B,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2C,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2D,F_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2F,F_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_2H,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3A,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3B,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3C,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3D,M_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3E,F_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_3F,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4A,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4C,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4D,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4E,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4F,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_4H,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5A,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5B,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5C,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5D,M_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5F,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5G,M_T931A,T931A_IVF,1,1,1,1,PAIRED - ,38
none,het_5H,F_wt,T931A_IVF,1,1,1,1,PAIRED - ,38
none,wt_6A,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_6B,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_6D,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_6E,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9A,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9B,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9E,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9F,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9G,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_9H,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10A,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10C,M_wt,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10D,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10E,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10F,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10G,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_10H,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11A,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11B,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11C,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11D,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11E,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11F,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11G,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_11H,F_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12A,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12B,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12D,M_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12E,M_del,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12F,M_wt,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12G,F_U,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
none,wt_12H,M_wt,wt_or_T931del_IVF,1,1,1,1,PAIRED - ,38
